timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745181619123,3,-26756,31671,-9273,1916,31123,0
1745181619123,2,10105,31404,-25353,-26760,31391,0
1745181619124,0,18298,31941,-23785,-14470,31676,0
1745181619132,1,-16367,27,5120,-28668,32,0
1745181619140,4,22632,-28284,16103,10356,-25669,0
1745181619168,3,-18561,30931,-24953,-14467,31445,0
1745181619168,2,10109,31683,-15625,6013,31956,0
1745181619169,0,-26759,31408,-26681,10107,31431,0
1745181619170,1,12305,3357,24177,-20470,0,0
1745181619171,4,-22406,28686,-8506,22646,-30008,0
1745181619243,3,-6276,31971,-23769,-10372,31457,0
1745181619244,2,6012,32453,-6601,30588,31681,0
1745181619245,0,-10375,31912,-20457,-2185,30866,0
1745181619245,1,11,7128,-12112,-24575,1,0
